"","Independence Day","The Patriot","The Day After Tomorrow","Pirates of the Caribbean: The Curse of the Black Pearl","Pretty Woman","Forrest Gump","The Green Mile","Con Air","Twister","Sweet Home Alabama","Pearl Harbor","Armageddon","The Rock","What Women Want","Bruce Almighty","Oceans Eleven","The Bourne Identity","The Italian Job","I Robot","American Beauty","How to Lose a Guy in 10 Days","Lethal Weapon 4","Shrek 2","Lost in Translation","Top Gun","Pulp Fiction","Gone in 60 Seconds","The Sixth Sense","Lord of the Rings: The Two Towers","Men of Honor","Gladiator","Lord of the Rings: The Fellowship of the Ring","Sister Act","Double Jeopardy","Two Weeks Notice","Troy","The Royal Tenenbaums","National Treasure","50 First Dates","Indiana Jones and the Last Crusade","My Big Fat Greek Wedding","Mystic River","Titanic","Dirty Dancing","Catch Me If You Can","Finding Nemo (Widescreen)","The Matrix","Kill Bill: Vol. 1","The Wedding Planner","The Shawshank Redemption Special Edition","The Last Samurai","John Q","Swordfish","The Bourne Supremacy","The Terminal","Men in Black II","Spider-Man 2","Braveheart","Men in Black","Ghost","Air Force One","Lord of the Rings: The Return of the King","Man on Fire","The Incredibles","Mr Deeds","Collateral","Spider-Man","Saving Private Ryan","Erin Brockovich","Monsters Inc.","Shrek (Full-screen)","The Silence of the Lambs","Memento","Tomb Raider","Ferris Buellers Day Off","Maid in Manhattan","Entrapment","Meet the Parents","Dodgeball A True Underdog Story","Rain Man","Patch Adams","Big Fish","Fight Club","S.W.A.T.","Good Will Hunting","A Few Good Men","Enemy of the State","The Generals Daughter","Minority Report","Somethings Gotta Give","Raiders of the Lost Ark","Anger Management","Sideways","Kill Bill: Vol. 2","American Pie","The Fast and the Furious","The School of Rock","Napoleon Dynamite","The Notebook"
"5100",5,4,3,5,3,5,4,5,3,3,3,4,3,4,4,4,4,4,5,4,3,5,5,3.22222222222222,5,4,4,5,5,4,5,5,4,4,3,4.7,3,4.7,3.22222222222222,5,3,4,4.2,4,4,3,4,5,3,4,4,4,4,5,4.2,4,4.7,5,5,4,4,5,5,4.5,3.4,5,4,5,4.2,5,5,5,4,4.7,3.4,3,4.25,4,3.4,4.2,4.2,4.2,4.28,4.28,3,5,4.28,4,4,3.22222222222222,5,3.4,4.2,4.28,2,4.28,3.4,3.4,4.2
"5101",2,2,1,3,2,5,5,3,2,2,3,3,3,2,3,3,4,3,3,4,2,2,2.5,3,5,5,2,5,5,3,5,5,1,2,1,4,3,3,3,4,2.11111111111111,3.86666666666667,4,3,4,3,5,5,2.11111111111111,5,3,2.71428571428571,3,3,3.86666666666667,2,3.92307692307692,5,3,3,3,5,3.37931034482759,2.5,1,2,5,5,2,2,2.5,5,2.71428571428571,3,5,1,3,4,3,5,3.86666666666667,3,5,3,4,3,2,1,4,2.11111111111111,5,3,4,5,4,2,2,4,3
"5102",4,5,2,4,3,5,5,3,3,3,4,4,4,3,3,2,3,3,3,4,4,3,3.5,3,4,5,3.65384615384615,5,4,3,4,4,3.33333333333333,2,3,3,2,3,3,5,3.22222222222222,5,5,3,3,3.5,4,3,3.22222222222222,4,3.65384615384615,2,3,3.65384615384615,3,3.72727272727273,3,4,4,4,3,3.72727272727273,5,3.5,3,4,3,5,4,3,4,3,3,3.72727272727273,4,3.22222222222222,3,5,3,4,4,4.25,3,3.65384615384615,5,5,4,3,4,4,5,3,4,4,3,2,4,3.33333333333333,4.25
"5103",4,4,4,4,4,5,4,3,3,3,3,3,5,2,3,2,3,4,3.45833333333333,2,3.6,5,3,3.6,4,2,2,5,5,2,4,5,2,4,3.6,2,2.8,3.8,3.6,5,4,3.46153846153846,5,5,3.8,3,2,2,3.6,4,5,2,3,3,4,2,3.8,5,5,3,5,3.8,3.45833333333333,3,2.8,3.28571428571429,3,5,3.46153846153846,3,3,2,3.28571428571429,2,4,3.6,4,2.8,2.8,4,1,3.46153846153846,3.45833333333333,3.45833333333333,3.46153846153846,5,4,3,3.45833333333333,3.6,5,2.8,1,3.45833333333333,3,2,2.8,2,3.46153846153846
"5104",4,3,3,3,5,5,5,3,3,4,4,5,4,4,2,5,3.78571428571429,4,4,5,3,3,3,4,5,5,3,4,5,2,5,5,3,3.125,3,3,3,3,3,3.54545454545455,3.9,4,5,5,4,5,5,4,5,5,3,3,3,4,3,2,3.54545454545455,5,3,5,2,5,3,5,3.33333333333333,3,3.54545454545455,3,4,4,5,5,5,1,5,3,3,4,4,5,4,3,5,3.78571428571429,5,5,3,1,4,3.9,5,3.33333333333333,5,3,3,2,4,2,5
"5105",4,4,4,3,4,5,5,4,4,3,4,4,4,3,3.66666666666667,4,4,3,5,3,3.625,4,3.5,4,4,4,4,3,5,4,5,5,4,4,3.625,5,3.66666666666667,4,3.625,4.23076923076923,4,4,4,4,4,3.5,4,5,3,4,5,3,3,4,4,4,4,4,4,4,4,5,3.93103448275862,3.5,3.66666666666667,5,3,4,4,3,4,5,3,4,4,3.625,3,4,3,5,3,4.06666666666667,3,1,4,4,3,4,5,4,5,3,4.06666666666667,5,3.66666666666667,3,4,3.66666666666667,4.06666666666667
"5106",2,3,4,4,5,4,3,3,3,2,4,5,5,3,3.75,4,4,3.58823529411765,3.58823529411765,2,3,2,3,3.125,4,3.58823529411765,4,3.58823529411765,5,3.125,4,5,4,3.5,3,3,3.75,5,3.125,4,4,3.125,3.125,3.125,4.27272727272727,4,2,3.58823529411765,2,3.125,4,3,3.5,4,4,4.27272727272727,4,4,4,3.125,5,5,3.58823529411765,4,3.75,3.5,4.27272727272727,3.58823529411765,4,3.66666666666667,3.66666666666667,3.5,3.5,4,4,3,3,3.75,4,2,3.125,3.125,3.58823529411765,3.58823529411765,3.125,2,3.58823529411765,3,3.58823529411765,3.125,4,3.75,3.125,3.58823529411765,3,3.58823529411765,3.75,3.75,3.125
"5107",4,5,4,5,4,5,5,3,3,4,4,4,4,4,4,4.03703703703704,4,4,4,4.53333333333333,5,3,5,3,4,4.03703703703704,4,5,5,5,5,5,4,4,5,4,4.11111111111111,4,4,5,5,5,4,3,3,5,5,4,4,5,4,4,4,4,4.53333333333333,4.30769230769231,4,5,4,4,4,5,4,5,4,4,4,5,4,5,5,5,4,3,5,4,4,5,4,4,4,4,4,4.03703703703704,5,4,4,3,4,5,5,4.11111111111111,4.53333333333333,4,4,3,4,3,5
"5108",4,3,3,4,5,5,4,4,3,5,3,4,3,2,3,5,4,4,5,4.2,5,4,4,3,5,2,5,5,5,5,4,5,5,5,3.81818181818182,3,3.5,5,4,5,5,2,5,5,4,4,5,3.92,2,5,4,4,3,4,2,3,4,4,3,5,4,5,3,5,4,3,2,3,3,3,4,5,4.125,3,3.5,3,5,5,2,5,3,4.2,5,3.92,5,5,3.92,4,3.92,3,5,4,4.2,3.92,3,4,3.5,2,5
"5109",4,5,3,5,3,5,5,4,4,3,3,3,3,3,4,4,4,3,5,4,4,3,5,3,4,5,4,4,5,3,5,5,2,3,3.33333333333333,4,3,4,4,5,4,4,4,3,4,5,5,5,3,5,5,3,3,5,5,3,4,5,4,2,3,5,4,5,4,4,3,4,3,5,5,5,5,4,5,3.33333333333333,4,4,5,4,3,4,4,4,5,4,4,4,4,3.33333333333333,5,3,4.0625,5,3,5,4,5,4.0625
"5110",4,4,3,4,4,5,4,3,3,5,3,3,4,4,4,4,4,4,4,3,2,4,3,2,4,4,4,4,5,5,5,5,3.125,3.33333333333333,3,3,3.125,3,4,4,4,4,4,4,3,4,5,3,3,5,4,4,4,3,3,3,4,5,3.90909090909091,4,3.33333333333333,5,4,3.66666666666667,3,3.33333333333333,4,4,3,3.66666666666667,4,4,2,3.90909090909091,3.125,4,3,3,2,4,4,4,3.72413793103448,4,5,4,4,3,4,3,3.90909090909091,4,2,2,3,3,4,2,4
"5111",4,3,4,4,4,4,5,3,4,3,4,5,3,4,3,4.05,4.05,4,4,3.875,3,4,4,3.55555555555556,4.05,3,5,4.05,5,4,4.05,5,4,5,3.55555555555556,4.33333333333333,3.75,5,4,4,4,3.875,3.875,4,4.33333333333333,4,5,5,3,4,4.05,4,4,4.05,3.875,4,4.33333333333333,3.875,4.33333333333333,3.875,4,5,4,4,3.75,4.16666666666667,4,4.05,4,4,4,4.16666666666667,4.16666666666667,3,3.75,3,4,4,3.75,3.875,3,3.875,4.05,4,3,4,4,4,4.05,3.55555555555556,4.33333333333333,4,3.875,5,3.75,4,3.75,3.75,3.875
"5112",5,4,3,5,4,5,4,4,5,4,3,5,4,3,3,5,4,3,4,4,4,3,4,4,4,4,4,5,5,4,5,5,3,3,4,3,2,5,3,5,2,4,5,4,3,3,5,3,4,5,4,3,5,4,2,4,5,5,4,5,4,4,3,3,1,2,5,5,3,5,4,5,5,4,5,3,3,2,3,4,4,3,5,3,5,3,4,4,4,2,5,2,2,4,4,5,4,4,4
"5113",4,4,3,5,5,5,4,4,4,4,4,5,4,3,4.14285714285714,4,4,4,4,2,3,3,4,3.63636363636364,4,3,4,4,5,3,5,5,4,4,3,3,4.14285714285714,4,4,5,4,4,5,4,4,5,4,5,3,5,4,3,3,4,4,3,4,5,4,4,4,5,4,5,4.14285714285714,4,5,5,4,5,4,4,4,3,5,3,3,4,4,4,3,4,3,4,5,4,3,3.625,4,4,5,4.14285714285714,3,5,4,4,4,4,4
"5114",4,2,3,3,3,4,2,3,2,2,3,3,3,4,3,3,3,3,3,5,2,3,3,3,3.03571428571429,3,2,3.03571428571429,3,2.92307692307692,4,4,2.7,3,3,3,3,3.33333333333333,3,4,3,3,2,2.88888888888889,3.33333333333333,3.5,4,3,2.88888888888889,2.92307692307692,4,3,3,3,2.92307692307692,3,3,3,4,3,3,3,3,3,2,4,3,4,1,3,5,4,2,3,2,2.88888888888889,2,2,2,3,2.92307692307692,3,3,2,4,3,4,3,3,3,4,3,2,3,5,2,3,2,2.92307692307692
"5115",5,4,4,3,4,5,4,4,4,4,5,4,4,3,4,4,4,4,3,4,4,4.04347826086957,5,3,4,5,4,4.04347826086957,4,4,5,4,4,4,3,5,3,5,4,4,5,4,4,4,4,4.5,5,4.04347826086957,3,4,5,4,4,3,4,3,4,4,4,4.0625,4,5,4,4,3,4,4,4,4,5,4,4,4,5,3.55555555555556,4,4,2,3,4,4.0625,4,4.04347826086957,4.04347826086957,4,4,4.04347826086957,4,4,4,5,4,3,4.04347826086957,5,1,4,3.55555555555556,5
"5116",4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3.81481481481481,3.81481481481481,3,3,3.9,3.54545454545455,4,3.72857142857143,3,4,4,4,5,5,3,4,4.125,3,3.66666666666667,3,4,2,4,4,5,3,3.9,4,3,4.125,3.72857142857143,4,3.81481481481481,3,4,4,4,3,4,4,4.125,4.125,4,3,4,4,4.125,4,3.72857142857143,3,3.66666666666667,4.125,4,4,3.72857142857143,3.72857142857143,5,2,3,3.125,4,3.66666666666667,3.125,3,3.9,4,3.9,4,3,3.9,3.9,4,4,3,4,5,4,3.9,3,4,4,3.125,3,3.9
"5117",3,2,4,4,4,4,3,3,4,2,4,3,3,2,2.75,3,2,3.1304347826087,3,4,2.83333333333333,3.1304347826087,3.5,2,3.1304347826087,4,3.1304347826087,3,2.875,2,4,3,3,4,2.83333333333333,5,4,2,2.83333333333333,2.875,3,2,4,2.83333333333333,2.875,3,3,3,2.83333333333333,4,3.1304347826087,3.28571428571429,3,3,3,2.875,2,4,3,3,3.28571428571429,2.875,3,3.5,2.75,3,2,3,4,4,3.5,4,3,2,2.75,2.83333333333333,3,2,2,3,3.23529411764706,4,3,3.1304347826087,3,3,3,3,3,4,2.875,2.75,2,3,2.75,3.1304347826087,2.75,2.75,3
"5118",4,5,2,2,4,5,3,4,5,2,4,4,4,3,3,4,3,3,3,2,3.09090909090909,2,4,4,4,3,2,3,4,4,5,4,4,4,2,4,3.375,2,3,4,4,3,4,2,3,4,3,2,3,5,4,2,3,3,2,2,3,5,3,4,5,4,2,4,3,3,3,5,4,4,4,4,3,3.23076923076923,4,3,3,4,3.375,4,3.5625,3,2,3.28571428571429,3,3,3,3.375,2,4,4,3,3,2,3,3.28571428571429,3,3.375,3.5625
"5119",4,5,4,5,4,4,5,3,3,4,4,4,4,3,3,4,2,4,3,3,3,3,4,1,3,4,3,5,4,3.75,4,5,2,4,3,4,3,4,4,3.83333333333333,3,5,4,3,4,5,4,4,2,5,4,3,2,3.82142857142857,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,3,4,3,2,3,3.09090909090909,3,3,4,4,3,3,5,4,3,3,3.82142857142857,3.25,4,4,3.83333333333333,2,3.75,4,4,4,3,3,4
"5120",4,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4.55555555555556,4,5,4,5,4,4,4,5,5,5,4,5,5,4,4,5,5,4.125,5,5,5,4,4,5,4,5,5,4,4,4,5,4,4,4,5,4.4,4,4.76923076923077,5,4,4,4,5,4.55555555555556,5,4,4.25,5,4,4,5,5,4,5,4,4,5,4,4,4.125,4.4,4,4,4.55555555555556,4,4,5,5,5,4,4,5,5,4.4,4,4,5,4,4.125,4
"5121",5,4,4,5,5,5,5,4,5,3,4,5,4,4,5,4.46428571428571,4,4.46428571428571,4,5,3,5,3,3.6,5,5,5,5,5,4.1875,5,5,3.9,3,3.6,3,3,5,4,5,4,3,4,4,3,3.5,5,4,2,5,4,4,5,5,3,2,5,5,4,4,4,5,4,4,2,3,5,5,4,3.5,3.5,5,3.875,5,5,3,4,4,4,5,3,3,4,5,5,5,5,3,3,4,4,4,3,4,5,4,3,4,4.1875
"5122",3,2,3,5,3,3,5,4,4,5,3,4,3,4,4,3,4,4,4,5,4,2,4,5,5,5,5,4,5,5,4,5,3,5,3,5,1,3,5,3.91666666666667,4,4,3,3,2,5,4,3,3,4,5,4,3,4,5,3,3,3,3,2,2,5,4,5,3,4,4,3,3,5,4,5,5,4,4,2,4,4,4,3,5,5,5,3,4,3,2,2,5,4,3.91666666666667,3,4,2,4,3,4,4,4
"5123",4,3,3,5,4,5,4,5,5,5,3,3,5,4,4,4,3,3,3.95833333333333,5,4,3.95833333333333,3.33333333333333,2,3,5,3,5,5,4,5,4,4,3,4,3,3,4.18181818181818,4.09090909090909,5,4,3,5,5,4,4,5,4,5,5,4,3,2,3.95833333333333,4.06666666666667,3,4.18181818181818,3,4.18181818181818,5,4,5,3.95833333333333,3,5,3.125,4,3,3,3,3.33333333333333,3,4,3,5,4,3,4,4,5,4,3,5,4,3,4,5,3,3,4,5,3,4.06666666666667,3.95833333333333,4,3.95833333333333,4,4,4.06666666666667
"5124",5,3,3,5,5,4,4,3,4,3,2,3,4,3,3,5,5,3,4,4,3,5,5,3.5,4,5,5,4.07407407407407,5,3.91666666666667,4,5,3,3,3,4.5,3.5,3,3,5,5,4,3.91666666666667,3.5,4,5,5,4,3.5,5,4,3.83333333333333,5,5,3,4.5,5,5,4.5,3.91666666666667,3,5,4.07407407407407,5,3,3.83333333333333,5,4,3.91666666666667,5,5,3.83333333333333,5,3,4,3.5,3,3,3.5,3.91666666666667,4,2,5,4.07407407407407,5,3.91666666666667,4,4,3,3,4.5,3.5,4,4,5,5,2,5,3
"5125",3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3.17777777777778,3,3,4,3,5,3.09090909090909,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3.17777777777778,4,3,3,4,3,3,3,3,3,3.09090909090909,3,4,3,3,3,3.09090909090909,3,3.17777777777778,3,3,3,4,4,3.17777777777778,3.17777777777778,4,3,3,3,3,3,3,3,4,3,3,4,3.20689655172414,4,4,3,3,3,3,4,3,3,3,3,3,3,2,4
"5126",5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,4,4,5,4,4,5,2,3.81818181818182,4.44,5,5,4,5,4,5,5,3.25,4,3,4,3.25,4,4,5,4,5,5,4,4,5,4.44,3,3,5,4.44,4,3,3,2,3,4.25,5,4,5,4,4.25,5,5,3,3,4,5,4.47058823529412,5,4,5,4,3,4,3,5,3.25,3,5,4,4,3,4.44,5,5,4,4,3,4,5,3,3,4.44,4,4,4,2,5
"5127",4,4,3,4,5,5,5,4,3,4,2,4,4,4,4,3.72222222222222,3.72222222222222,3,4,5,2,4,4,3.4,5,3.72222222222222,3.72222222222222,4,5,5,2,5,5,4,3,4.22222222222222,3,1,2,5,3.4,4.61538461538461,4,5,4.22222222222222,4,3.72222222222222,3.72222222222222,2,5,5,4,3,4,4,4,4.22222222222222,4.61538461538461,5,5,4,5,5,4,3.6,5,4,3.72222222222222,5,4,4,4,4,4.22222222222222,3,3,4,3,3.6,5,5,4.61538461538461,3.72222222222222,3,5,4.61538461538461,3.72222222222222,4,3.72222222222222,4,4.22222222222222,3.6,2,3.72222222222222,3.6,3.72222222222222,3.6,3.6,4.61538461538461
"5128",4,5,4,5,4,5,5,4,4,3,4,5,4,4,4,3,4,4.17391304347826,5,3,4,4,4,4,5,4.17391304347826,3,5,4,5,5,4,3,4,3,5,3,5,5,5,4,5,5,4,4,4,4.17391304347826,4.17391304347826,4,5,5,4,3,4,4,3,4,5,4,5,3,5,4,4,3,3,4,5,5,4,4,5,3.625,4,4,4,3,5,4,4.5,4,4.5,4.17391304347826,3,4.5,4.5,4.17391304347826,4,4,5,5,4,2,4.17391304347826,3.75,3,3.75,3.75,5
"5129",4,4,4,5,1,3,5,4,3,3,1,3,3,3,4,4,4,4,2,4,1,2,4,5,4,5,4,3.67857142857143,5,2,5,5,1,1,3,4.15384615384615,5,2,4,5,3,4,1,3,4,5,5,5,2.9,5,4,1,3,3.67857142857143,2,4,4,5,4,1,3,5,3,5,4,2,4,3,3.13333333333333,4,5,5,5,2,5,3,3,4,4,3,2,4,5,2,5,3.13333333333333,4,2.875,3,2.9,5,4,3.13333333333333,5,3,4,5,5,1
"5130",4,3,2,5,4,5,5,3,3,4,1,2,4,2,3,4,4,4,3,5,4,3.74074074074074,5,5,5,4,4,5,5,3,5,5,3,3.8,4,2,5,4,4,5,5,4,4,3,4,5,5,5,3,5,4,3.8,3,5,4,4,4,4,5,4,3,5,3.74074074074074,5,3,3,2,5,4,5,4,5,5,3,5,2,3.8,3,5,4,3,5,5,3,5,5,3.74074074074074,3.8,2,3,4,3.8,5,4,3,3,4,4,5
"5131",1,1,2,3,3,5,3,1,1,2,2,1,1,1,4,3,3,3,3,5,3,1,3,5,3,3,2.37037037037037,5,4,2,1,5,2,2,2,2,5,3.5,3,5,4,3,2,2.63636363636364,4,5,5,1,1,5,2,3,2.5,3,3,1,3,3,3,3,3,4,3,4,2,3,4,3,3,5,4,2,5,3.5,4,2,1,3,3,4,1,4,5,2.37037037037037,3,5,2,1,3,3,4,3,3,2,2,2.37037037037037,2,3,3
"5132",3,4,3,4,4,3,5,5,3,5,5,5,3,5,5,4,4,4,4,3,5,4,4,2,4,3,3,5,5,4,4,5,4,4,3,4,4.28571428571429,4,5,5,4,4,4,5,5,5,4,3.96,4,4.06666666666667,5,4,3,4,4,3,4,4,3,5,3.42857142857143,5,5,4.5,4,4,5,3.96,5,5,4,3.42857142857143,2,4,5,4,3,5,3,4.06666666666667,3,4,3.96,4,4.06666666666667,4,3.96,4,4,5,5,4.28571428571429,4,3.96,4,3,4.28571428571429,4.28571428571429,5
"5133",5,3,3,5,3,5,4,4,3,3,4,5,4,3,3,4,4,5,5,4,2,3,4,1,5,4,4,5,4,3,5,4,3,3.875,3,4,2,4,4,5,2,5,4,3,3,3.5,5,4,1,5,4,5,4,4,4,3,4,4,4,4,3,4,4,3,3,3,4,4.03571428571429,3,3.5,3.5,5,4,3,4,2,4,5,5,4,3,4,4.03571428571429,3,3,5,3,3,4,2,5,3,4,4,4,3,3,4,3
"5134",4,5,3,5,4,5,5,5,3,4,5,5,5,5,3,4,4.16666666666667,4.16666666666667,4,3,3,4,5,3.90909090909091,5,4,5,5,5,5,3,5,4,4,4,4.5,3.25,5,4,4,2,4.16666666666667,4,5,4.5,5,5,4.16666666666667,3,4,4.16666666666667,5,5,4.16666666666667,4.16666666666667,5,4,5,4,4.16666666666667,5,5,4,5,4,4.71428571428571,5,5,2,5,5,5,4.71428571428571,3,1,4,4,4,3,4,5,4.16666666666667,3,4,4.16666666666667,4,3,5,3,5,4,4,4.16666666666667,4.16666666666667,3,4,3.25,3.25,4
"5135",4,5,5,5,5,4,5,4,3,4,4,5,5,5,3,4,4,4.36363636363636,4,5,4,4,5,4,4,5,3,4,5,4.58333333333333,5,5,3,4,4,5,4.125,4,4,5,4,4,4.58333333333333,4,3,5,4.36363636363636,5,2,5,4,5,4,4.36363636363636,4,4,4.63636363636364,5,4.63636363636364,5,4,5,4.36363636363636,5,3,4.375,5,5,4,5,5,5,5,4.63636363636364,5,4,5,5,4.125,4,4.58333333333333,5,5,4.36363636363636,4.58333333333333,4.58333333333333,4.36363636363636,3,4.36363636363636,4,5,5,4.58333333333333,5,5,4.36363636363636,4.125,4,5
"5136",4,4,4,4,3,5,5,4,4,4,4,2,4,4,4,4,5,4,5,5,4,3,4,3,3,5,3,4,3.8,5,5,3.8,2,4,4,5,3,3.8,5,4,5,4,4.4,4,5,4,4,4,3,5,4,3,4,5,5,3,3,5,4,4,4,3.8,5,4.33333333333333,4,4,3,5,3,4.33333333333333,5,5,4,3,3.375,3,4,5,1,4,3,4.4,5,4,5,3,5,4,3,4,4,4,4.4,5,4,4,3.375,3.375,5
"5137",4,3,3,3,4,5,3,3,3,3,3,4,4,4,3,3,4,4,3,2,4,4,4,3.5,4,3,3,4,3,3,3,3,3,3,3,3.30769230769231,3,4,3,4,4,4,3.4,3,3,4,3,3.42857142857143,3,4,4,3,3,3,3,3,3,3,4,3,3.25,3,5,4,4,4,3,5,3,4,4,3,3,3,3,3.5,3,4,3.11111111111111,4,3,3.4,3,3,5,3,3,4,3,4,4,3,3,3.42857142857143,2,2,3,3.11111111111111,3.4
"5138",4,5,5,4,3,4,5,3,4,3,4,5,5,3,4,5,5,3,5,4,4,5,5,3.22222222222222,4,4,4,5,5,4,5,5,3,4,3,5,4,5,4,5,3.22222222222222,4,4,3,4,4,5,3,3,5,4,4,3,5,4,4,5,5,5,3,4,5,5,5,4,4,4,5,4,4,4,4,5,4.69230769230769,4,3,4,4,5,5,4,4.3125,4,4,5,4,4,4,5,3.22222222222222,5,4,4.3125,3,5,4,4,3,5
"5139",3,3,3,1,4,4,4,2,4,2,3,3,3,2,3,3,3.22727272727273,3,2,5,3,2,3.18918918918919,4,4,4,3.22727272727273,5,3,3,4,2.9,2,3.4,3,4,3,2,3,4,4,4,4,2,2.9,3.18918918918919,3.22727272727273,3,3,4,3.22727272727273,2,3.4,3.22727272727273,2,2.9,3,4,1,4,3.4,2.9,3.22727272727273,3.18918918918919,3,3,4,5,3,3.18918918918919,3.18918918918919,4,5,3,4,3,3.4,4,1,4,3,3.64705882352941,4,2,4,4,3.22727272727273,3,4,3,4,2,4,2,3,3.22727272727273,4,1,2
"5140",4,5,2,5,4,5,5,5,4,3,3,4,4,4,4,4,5,4,5,5,3.27272727272727,5,5,3,5,5,5,5,4,4,5,3,2,5,3,5,4,5,4,4,3,5,3,3,4,4,5,5,3,5,5,4,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,3,5,4,5,5,4,3,1,5,4,5,4,4,4,5,4,5,5,5,5,5,5,4,3,4.375,5,5,5,4,4,4.375
"5141",5,5,5,5,3,5,5,5,5,5,4,4,5,5,5,3,5,2,5,5,4,5,5,1,3,5,5,5,5,5,5,5,4,5,3,5,1,4.92307692307692,5,5,5,4,5,3,5,5,3,4,5,5,3,5,4,5,4.66666666666667,5,5,5,5,5,5,4,5,5,4,4.25,5,5,5,5,5,5,4,5,3,2,3,4,3,5,3,5,5,3,5,3,3,3,5,4,5,5,4.66666666666667,5,5,1,5,3.9,4.66666666666667
"5142",4,5,4,3,4,5,5,4,4,3,3,5,5,4,3,4,4,4,4.2962962962963,3,3,5,4,3.77777777777778,5,4,4,4,5,4,4,4,4,4,3.77777777777778,4.4,4,4.4,5,5,3,4,4,5,4.4,4,5,4,3,5,5,4,5,4.2962962962963,4.38461538461539,4,4.4,5,5,4,4,5,4,4,5,4.25,4,5,4.38461538461539,4,4,5,4,4,5,3.77777777777778,4,5,4,4,4,4.38461538461539,3,4,5,5,5,4,5,4,5,2,4.38461538461539,4,4,4.2962962962963,4,4,4.38461538461539
"5143",4,5,5,4,5,5,5,4,4,5,5,4,4,5,4,4,5,4,5,3,5,4,4,3,4,4.21428571428571,4,4,4,4,4,5,4,4,5,5,3,5,5,4,4,4,4,5,4,4,4,3,4,5,5,4,4,5,5,2,4,5,4,4,4,5,5,5,3,4,4,5,4,4,4,5,3,4,4,5,4,3,3,5,5,4,4.21428571428571,5,5,4,4,4,4,5,4,4,3,1,3.4,4,4,2,5
"5144",4,4,4,5,5,4,5,4,3,4,4,5,3,5,2,4,5,5,4,5,2,5,4,3.4,5,4.08333333333333,4,5,4,4.13333333333333,4.08333333333333,4,3,5,3,4,1,4,4,5,4,5,4,3,4,5,5,4.08333333333333,2,5,4.08333333333333,4,3,4,3,1,5,5,4,2,4,2,5,5,2.75,4,5,5,5,5,5,4,4,4,5,2,4,3,2.75,4,3,4,4.08333333333333,3,5,3,4,4,3,3.4,5,2.75,4.13333333333333,4.08333333333333,3,1,4,1,4.13333333333333
"5145",3,4,4,4,2,4,5,2,2,2,4,4,4,3,3,3,3,3,3,4,3,3,3,2.88888888888889,4,3.46428571428571,4,5,5,3,5,5,3.55555555555556,3,3,5,3.55555555555556,4,5,4,2,3,5,3,5,4,3,3,2.88888888888889,4,3,3,3,3,3,3,3,4,4,2,3,5,5,5,3,3,3,4,3.84615384615385,4,3,3,3,3,3,2.88888888888889,3,4,4,3.84615384615385,4,5,5,3.46428571428571,3.84615384615385,3.84615384615385,2,3,2,3,4,3,3.84615384615385,4,4,3,5,3,4
"5146",4,5,2,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4.25,4.25,5,5,3,5,4.88888888888889,5,1,5,4.25,5,4.33333333333333,5,5,3,4,4,5,4.14285714285714,5,5,5,4.88888888888889,4.33333333333333,4.33333333333333,5,5,5,4.25,4.25,5,4.33333333333333,4.25,4,4,4.25,4.33333333333333,5,5,5,5,4.33333333333333,4,5,4.25,5,5,4,5,4.25,4.33333333333333,5,5,4,4,5,4.14285714285714,4.88888888888889,4,5,5,4.33333333333333,4.33333333333333,4.33333333333333,4.25,4.25,5,4.33333333333333,5,4,4.25,5,5,4.14285714285714,1,4.25,5,4.25,4.14285714285714,1,4.33333333333333
"5147",3,3,3,4,4,5,5,3,4,4,3,4,4,3,2,4,5,4,4,5,4,2,4,3,4,4,4,5,3.91666666666667,4,5,3.91666666666667,3.5,4,3,5,2,4,2,4,5,4,5,4,4,4,4,5,3,5,5,4,3,5,4,3,5,5,4,3,3.875,3,5,5,3,4,4,5,4,4.25,4,3,4,3,5,3.27272727272727,4,4,4,4,3,3,4,5,5,4,4,5,4,1,4,3,5,2,4,4,4,4,5
"5148",5,4,5,4,4,5,5,5,4,4,5,4,5,3,3,4,4,4,4,4,3.42857142857143,5,5,4,5,5,3,5,4,3.85714285714286,5,3.9,2,3,3.42857142857143,5,2,3,4,5,3,4,3,3.42857142857143,4,4,5,5,2,5,4,4,3,4.42857142857143,3,4,3.9,5,3.9,1,4,3.9,4.42857142857143,4.5,4,4,3,5,4,4.5,4.5,5,5,2,4,3.42857142857143,4,5,4,5,3.85714285714286,4,4,4,3.85714285714286,5,4,4,3,3.42857142857143,5,3,1,5,5,4,3,3,3.85714285714286
